# num_greedy 30
55 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
56 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
57 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
58 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
59 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
60 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
61 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
62 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
63 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
64 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
65 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
66 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
67 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
68 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
69 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
70 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
71 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
72 ; 650.0 ; [ 6.86246782 19.42695458 10.64083033  7.59975304 21.37810936 22.67311372]
73 ; 654.0 ; [ 4.66701228 21.73757058 10.38552429  5.65475921 22.92680557 18.62301059]
74 ; 654.0 ; [ 4.66701228 21.73757058 10.38552429  5.65475921 22.92680557 18.62301059]
75 ; 654.0 ; [ 4.66701228 21.73757058 10.38552429  5.65475921 22.92680557 18.62301059]
76 ; 654.0 ; [ 4.66701228 21.73757058 10.38552429  5.65475921 22.92680557 18.62301059]
77 ; 654.0 ; [ 4.66701228 21.73757058 10.38552429  5.65475921 22.92680557 18.62301059]
78 ; 654.0 ; [ 4.66701228 21.73757058 10.38552429  5.65475921 22.92680557 18.62301059]
79 ; 654.0 ; [ 4.66701228 21.73757058 10.38552429  5.65475921 22.92680557 18.62301059]
80 ; 654.0 ; [ 4.66701228 21.73757058 10.38552429  5.65475921 22.92680557 18.62301059]
81 ; 654.0 ; [ 4.66701228 21.73757058 10.38552429  5.65475921 22.92680557 18.62301059]
82 ; 654.0 ; [ 4.66701228 21.73757058 10.38552429  5.65475921 22.92680557 18.62301059]
83 ; 654.0 ; [ 4.66701228 21.73757058 10.38552429  5.65475921 22.92680557 18.62301059]
84 ; 654.0 ; [ 4.66701228 21.73757058 10.38552429  5.65475921 22.92680557 18.62301059]
85 ; 654.0 ; [ 4.66701228 21.73757058 10.38552429  5.65475921 22.92680557 18.62301059]
